mall_name,Clinic (CHAS),Clinic (PHPC),Gym (GeoJSON),Gym/Sports (CSV),HDP Outlet,Total,has_bike_rack,has_playground,longitude,latitude,HPM,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors,supermarket_outlet_count,satisfy
The Flow Mall,0,0,0,0,0,0,0,0,103.9042031164471,1.304573546620177,0,0.0,0.0,0.0,0.0,0.0,34173.0,7323.0,0.0,0
Kada@Maxwell,0,0,0,0,0,0,0,0,103.8447472274788,1.280331427273161,0,1.0,1.0,2.0,108.0,0.0,25706.0,6469.0,0.0,0
Joo Chiat Complex,0,0,0,0,0,0,0,0,103.8983780993154,1.315876534009996,0,4.0,4.0,47.0,0.0,0.0,37633.0,7877.0,0.0,0
Lentor Modern,0,0,0,0,0,0,0,1,103.8349576903235,1.385697007270182,0,0.0,0.0,0.0,1.0,18219.0,0.0,0.0,1.0,0
The Heeren,0,0,0,0,0,0,0,0,103.8373672131579,1.302651601424818,0,0.0,0.0,0.0,0.0,0.0,17873.0,2779.0,0.0,0
Mandarin Orchard,0,0,0,0,0,0,0,0,103.8365842,1.302004717,0,0.0,0.0,0.0,0.0,0.0,20085.0,3117.0,0.0,0
CQ@Clarke Quay,0,0,0,0,0,0,0,0,103.8459213740519,1.290694526976453,0,11.0,64.0,808.0,2.0,0.0,14777.0,4043.0,0.0,0
New Bridge Centre,0,0,0,0,0,0,0,0,103.8427107296376,1.282816494046038,0,0.0,0.0,0.0,0.0,0.0,26701.0,7109.0,0.0,0
Capitol Singapore,0,0,0,0,0,0,0,0,103.8510468298429,1.292987753822214,0,0.0,0.0,0.0,0.0,0.0,5603.0,1196.0,0.0,0
Orchard Gateway,0,0,0,0,0,0,0,0,103.8388688865187,1.301601169575445,0,0.0,0.0,0.0,0.0,0.0,19597.0,2772.0,0.0,0
Palais Renaissance,0,0,0,0,0,0,0,0,103.8295880451874,1.306654845431923,0,0.0,0.0,0.0,0.0,0.0,15414.0,2912.0,0.0,0
Parc Point,0,0,0,0,0,0,0,0,103.7395700992732,1.360433421408648,0,2.0,25.0,505.0,1.0,34052.0,56135.0,7161.0,1.0,0
Bugis Street,0,0,0,0,0,0,1,0,103.8548309434393,1.300673802101928,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Peninsula Plaza,0,0,0,0,0,0,0,0,103.8508031797687,1.292317422288004,0,0.0,0.0,0.0,1.0,889.0,5415.0,1332.0,0.0,0
Peninsula Shopping Complex,0,0,0,0,0,0,0,0,103.8502726378534,1.291807896019869,0,0.0,0.0,0.0,0.0,0.0,5460.0,1425.0,0.0,0
Tampines 1,0,0,0,0,0,0,0,0,103.9429035678079,1.352701602722757,1,20.0,91.0,947.0,10.0,46869.0,84428.0,20674.0,3.0,0
City Plaza,0,0,0,0,0,0,0,0,103.8934721151185,1.314786897197704,0,0.0,0.0,0.0,0.0,0.0,36879.0,7882.0,0.0,0
