mall_name,Clinic (CHAS),Clinic (PHPC),Gym (GeoJSON),Gym/Sports (CSV),HDP Outlet,Total,has_bike_rack,has_playground,longitude,latitude,HPM,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors,supermarket_outlet_count,satisfy
Ngee Ann City,3,0,2,3,11,19,0,0,103.8346761247222,1.302424171894113,0,2.0,6.0,162.0,6.0,70034.0,20809.0,3427.0,1.0,0
The Clementi Mall,0,1,0,0,18,19,1,0,103.764423054189,1.314896196393653,0,0.0,0.0,0.0,20.0,351885.0,67386.0,15379.0,1.0,0
Hillion Mall,1,1,0,1,16,19,1,0,103.7628427898765,1.37843100827587,1,7.0,150.0,2598.0,35.0,352211.0,83497.0,17463.0,1.0,1
Heartland Mall,1,1,1,1,14,18,1,0,103.8851673727259,1.359541773255625,0,0.0,0.0,0.0,11.0,76718.0,0.0,0.0,1.0,0
West Mall,1,0,0,0,17,18,1,0,103.7492164938305,1.350021075943163,0,0.0,0.0,0.0,45.0,59427.0,76329.0,16005.0,2.0,0
313@somerset,0,0,0,0,18,18,0,1,103.8383606644851,1.301014364040584,0,0.0,0.0,0.0,6.0,1785.0,19324.0,2751.0,0.0,0
YewTee Point,2,1,0,0,15,18,1,0,103.7464431982236,1.396969922679733,1,0.0,0.0,0.0,30.0,263341.0,68467.0,11278.0,1.0,0
Thomson Plaza,0,0,1,1,15,17,0,0,103.830328102928,1.35432524209239,0,1.0,10.0,22.0,29.0,161801.0,22907.0,5967.0,1.0,0
Bukit Panjang Plaza,1,1,0,0,15,17,0,0,103.764357180314,1.379920451762434,1,7.0,54.0,2414.0,32.0,204620.0,98327.0,20123.0,1.0,0
The Paragon,4,1,1,2,9,17,0,1,103.8358575454689,1.303872308799947,0,0.0,0.0,0.0,6.0,34945.0,17615.0,3049.0,1.0,0
Loyang Point,3,1,0,3,9,16,0,0,103.964632225014,1.367073575256231,0,4.0,4.0,66.0,32.0,77826.0,53308.0,10757.0,2.0,0
Jewel Changi Airport,0,0,0,0,16,16,0,0,103.9890775502096,1.360341006610217,0,3.0,3.0,54.0,21.0,45868.0,1.0,0.0,1.0,0
Paya Lebar Square,1,1,0,0,14,16,1,0,103.8925807785135,1.318814870076511,0,2.0,9.0,870.0,35.0,6490.0,40802.0,9843.0,1.0,0
IMM,0,0,0,0,15,15,0,1,103.793724128024,1.302101271093222,1,30.0,237.0,7763.0,23.0,120847.0,56675.0,14068.0,1.0,0
West Coast Plaza,2,0,0,5,8,15,0,0,103.7661312946774,1.303697489711002,0,5.0,50.0,500.0,6.0,32559.0,39911.0,9250.0,1.0,0
Wisteria Mall,2,2,0,2,9,15,0,0,103.841268831617,1.417952885015354,0,0.0,0.0,0.0,23.0,98589.0,79749.0,13476.0,1.0,0
Zhongshan Mall,1,1,0,1,12,15,0,0,103.8465544,1.326945045,1,2.0,51.0,561.0,7.0,82048.0,41493.0,9216.0,1.0,0
Alexandra Retail Centre,2,0,0,1,11,14,0,0,103.8013994,1.274148936,0,3.0,3.0,39.0,14.0,60973.0,13827.0,2732.0,1.0,0
The Central,2,0,1,4,7,14,0,0,103.8369260784155,1.298532876755191,0,3.0,9.0,441.0,5.0,2736.0,19465.0,4205.0,1.0,0
Singpost Centre,1,1,0,2,10,14,0,0,103.9089550035539,1.367657110496312,1,8.0,53.0,1255.0,29.0,110491.0,38520.0,8981.0,1.0,0
888 Plaza,3,1,0,1,8,13,0,0,103.7953143838222,1.437123015004346,0,6.0,54.0,1062.0,3.0,162100.0,125498.0,17594.0,1.0,0
Rivervale Plaza,3,1,0,0,9,13,1,0,103.9018410441215,1.385337361077732,1,4.0,4.0,82.0,35.0,381220.0,108547.0,17959.0,1.0,0
Century Square,1,1,0,0,11,13,1,0,103.9438123022526,1.35236829566862,1,8.0,78.0,2113.0,31.0,58962.0,81929.0,20958.0,2.0,0
Oasis Terraces,1,0,0,2,10,13,1,0,103.9132151013428,1.402780157256932,1,5.0,42.0,1208.0,15.0,191783.0,91311.0,10488.0,1.0,1
111 Somerset,0,0,0,13,0,13,0,0,103.8373171327961,1.30020625685961,0,27.0,61.0,615.0,2.0,34601.0,21068.0,3039.0,1.0,0
Le Quest,2,1,0,6,4,13,0,0,103.7410973534169,1.355662249439935,0,0.0,0.0,0.0,4.0,80511.0,67565.0,10250.0,1.0,0
Greenwich V,1,1,0,5,5,12,0,0,103.8691359781725,1.387395393970164,0,0.0,0.0,0.0,7.0,27472.0,45482.0,7729.0,1.0,0
Kallang Wave Mall,0,0,1,6,5,12,1,1,103.8731497075906,1.30307515150401,0,3.0,117.0,2846.0,7.0,70687.0,9430.0,1907.0,1.0,1
Velocity @ Novena Square,0,0,1,2,9,12,0,0,103.8441914,1.319295425,1,19.0,105.0,1534.0,30.0,36091.0,29100.0,5015.0,2.0,0
The Woodleigh Mall,0,1,0,1,10,12,1,0,103.8716700084639,1.338730664155658,0,4.0,101.0,3662.0,3.0,190093.0,46259.0,8410.0,1.0,1
Bukit Timah Plaza,1,0,0,5,6,12,0,0,103.7785854309745,1.338631652774515,0,3.0,50.0,671.0,7.0,141321.0,18747.0,4191.0,1.0,0
Guoco Tower,1,1,0,5,5,12,0,0,103.8456182956565,1.276799927964345,0,17.0,28.0,473.0,6.0,3445.0,23438.0,5331.0,0.0,0
Paya Lebar Quarter,1,1,0,0,10,12,1,1,103.8934146635971,1.317708868989965,1,5.0,50.0,1034.0,32.0,146182.0,42030.0,9691.0,1.0,0
100 AM,0,1,0,2,9,12,0,0,103.8434884,1.274682815,0,0.0,0.0,0.0,4.0,28436.0,21493.0,4970.0,1.0,0
Greenridge Shopping Centre,3,2,0,0,7,12,0,0,103.7662284681845,1.385405692832715,0,9.0,9.0,168.0,16.0,153615.0,96804.0,17498.0,2.0,0
One Raffles Place,1,0,1,0,9,11,0,0,103.8510725458335,1.284349546223077,0,0.0,0.0,0.0,18.0,0.0,8335.0,2451.0,0.0,0
Citylink,0,0,0,2,9,11,1,0,103.854173501417,1.292777731289308,0,0.0,0.0,0.0,6.0,1453.0,4276.0,1064.0,0.0,0
Aperia,1,1,0,0,9,11,0,1,103.8643132181596,1.31047366757341,0,27.0,100.0,2581.0,10.0,33066.0,36030.0,9347.0,1.0,0
UE Square,0,0,0,8,3,11,0,0,103.8418105708355,1.293111066474587,0,22.0,66.0,1355.0,5.0,17057.0,19661.0,4267.0,1.0,0
Sunshine Place,3,2,0,2,3,10,0,0,103.7390154860207,1.377897275999276,0,4.0,4.0,33.0,6.0,177390.0,70132.0,11315.0,1.0,0
The Cathay,0,0,1,4,4,9,0,0,103.8476941788664,1.29957090027016,0,0.0,0.0,0.0,3.0,0.0,12284.0,2567.0,0.0,0
Wheelock Place,1,1,0,2,5,9,0,0,103.8306420275763,1.304676287302523,0,0.0,0.0,0.0,1.0,0.0,18031.0,3276.0,0.0,0
Millenia Walk,0,0,1,3,5,9,0,0,103.8597249444427,1.292605444624933,0,49.0,777.0,19396.0,6.0,2276.0,3874.0,607.0,0.0,0
Fajar Shopping Centre,4,2,0,0,3,9,1,0,103.7713506785504,1.383777987384137,0,4.0,4.0,50.0,11.0,20116.0,85588.0,17170.0,2.0,0
Valley Point,0,0,1,7,1,9,0,0,103.8270759,1.293072253,0,13.0,43.0,258.0,2.0,28917.0,47055.0,10352.0,1.0,0
ION Orchard,0,0,0,0,9,9,0,0,103.832032328465,1.303979741445055,0,0.0,0.0,0.0,11.0,16012.0,19459.0,3320.0,1.0,0
Boon Lay Shopping Centre,4,2,0,2,1,9,0,0,103.7124303734547,1.346335524573169,0,1.0,1.0,3.0,4.0,210171.0,74248.0,14390.0,1.0,0
KINEX,0,0,0,2,7,9,0,0,103.8947380047679,1.314618498892422,1,25.0,163.0,4140.0,5.0,0.0,36410.0,7529.0,0.0,0
Woods Square,0,1,0,2,6,9,1,0,103.7853654726456,1.434758115382413,0,5.0,51.0,1263.0,1.0,7548.0,74967.0,11760.0,0.0,1
Sembawang Shopping Centre,0,0,0,2,7,9,0,0,103.8248452072371,1.441824706757328,0,1.0,1.0,30.0,20.0,80069.0,58087.0,7612.0,2.0,0
The Poiz Centre,1,1,0,1,6,9,1,0,103.8682140253298,1.331497080736245,0,0.0,0.0,0.0,11.0,80865.0,46166.0,8817.0,1.0,0
Canberra Plaza,1,2,0,1,5,9,0,0,103.8303453692124,1.443495445279841,1,29.0,94.0,4667.0,11.0,135334.0,58413.0,6848.0,1.0,0
Teck Whye SC,0,0,0,9,0,9,0,0,103.7532918570159,1.383649968344577,0,0.0,0.0,0.0,0.0,0.0,72357.0,12749.0,0.0,0
