name,name2,HPM
United Square,United Square,1
Valley Point,Valley Point,0
Velocity @ Novena Square,Velocity @ Novena Square,1
Vista Point,Vista Point,0
Vivo City,VivoCity,0
Waterway Point,Waterway Point,1
West Coast Plaza,West Coast Plaza,0
West Mall,West Mall,0
Westgate,Westgate,1
Wheelock Place,Wheelock Place,0
White Sands,White Sands,1
Wilkie Edge,Wilkie Edge,0
Wisma Atria,Wisma Atria,0
Wisteria Mall,Wisteria Mall,0
Woodlands Mart,Woodlands Mart,0
Woodlands North Plaza,Woodlands North Plaza,0
Woods Square,Woods Square,0
Yew Tee Square,Yew Tee Square,0
YewTee Point,YewTee Point,1
Zhongshan Mall,Zhongshan Mall,1
