name,address,vaccine,postal
Fraser Medical Centre,"78A Telok Blangah Street 32 #01-07, Singapore 101078",Pfizer/Comirnaty (JN.1) (12 years old & above),101078
Healthplus Family Clinic & Surgery,78A Telok Blangah Street 32 #1-2 Singapore 101078,Pfizer/Comirnaty (JN.1) (12 years old & above),101078
Elyon Family Clinic & Surgery Pte Ltd,"78B Telok Blangah Street 32, #1-22 Singapore 102078",Pfizer/Comirnaty (JN.1) (12 years old & above),102078
Acacia Medical Clinic,"180 Depot Road, The Interlace #01-07, Singapore 109684",Pfizer/Comirnaty (JN.1) (12 years old & above),109684
The Clinic @ Business City,"20 Pasir Pangjang Road, Mapletree Business City #02-26, Singapore 117439","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",117439
The Occupational and Diving Medicine Centre,"20 Lower Kent Ridge Road , University Health Centre, Singaporw 119080","Pfizer/Comirnaty (JN.1) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",119080
Love & Joy Family Clinic,"105 Clementi Street 12, Sunset Way Residence #01-24, Singapore 120105","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",120105
FairCare Family Clinic (Clementi),"345 Clementi Avenue 5, #01-94, Singapore 120345","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above) (6 months to 5 years old)",120345
Doctors Medical Clinic,"354 Clementi Ave 2, #01-209, Singapore 120354",Pfizer/Comirnaty (JN.1) (12 years old & above),120354
Wee Healthfirst Clinic Pte Ltd,"378 Clementi Avenue 5, #01-342, Singapore 120378",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),120378
SingMedical Clinic Clementi,"446 Clementi Ave 3, #01-185, Singapore 120446",Pfizer/Comirnaty (JN.1) (12 years old & above),120446
Raffles Medical (Clementi),"446 Clementi Avenue 3, #01-189, Singapore 120446",Pfizer/Comirnaty (JN.1) (12 years old & above),120446
OneCare Clinic Clementi,"449 Clementi Avenue 3, #01-241, Singapore 120449",Pfizer/Comirnaty (JN.1) (12 years old & above),120449
MYHEALTH Medical Centre,"501 West Coast Drive #01-256, Singapore 120501",Pfizer/Comirnaty (JN.1) (12 years old & above),120501
Unity Medical Clinic,"501 West Coast Drive, #01-250, Singapore 120501",Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above),120501
Healthway Medical (Clementi West Blk 722),"722 Clementi West Street 2 #01-162, Singapore 120722",Pfizer/Comirnaty (JN.1) (12 years old & above),120722
Healthway Medical (Clementi West Blk 727),"727 Clementi West Street 2 #01-258, Singapore 120727",Pfizer/Comirnaty (JN.1) (12 years old & above),120727
Our West Coast Family Clinic,"801 West Coast Crescent, #01-03, Singapore 120801",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),120801
CarePlus Clinic,"464B Clementi Avenue 1, #01-10, Singapore 122464",Pfizer/Comirnaty (JN.1) (12 years old & above),122464
Yarra Medical Clinic,"1 West Coast Drive, NeWest, #01-11, Singapore 128020",Pfizer/Comirnaty (JN.1) (12 years old & above),128020
Claremont Medical Clinic,"3 Jalan Mas Puteh, Singapore 128609","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above) (6 months to 5 years old)",128609
Frontier Family Medicine Clinic,"3151 Commonwealth Avenue West #04-01 Grantral Mall, Singapore 129581",Pfizer/Comirnaty (JN.1) (12 years old & above),129581
Minmed Clinic (Clementi),"3155 Commonwealth Avenue West, The Clementi Mall #04-07, Singapore 129588",Moderna/Spikevax (JN.1) (12 years old & above),129588
The Clinic @ Fusionopolis,"1 Fusionopolis Place, Galaxis #01-05, Singapore 138522","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",138522
Mei Ling Clinic,"158 Mei Ling Street #01-80, Singapore 140158",Pfizer/Comirnaty (JN.1) (12 years old & above),140158
Virtue Medical Clinic,"158 Mei ling Street, Mei Ling Heights #01-92, Singapore 140158",Pfizer/Comirnaty (JN.1) (12 years old & above),140158
Soong Clinic & Surgery,"162 Mei Ling Street #01-353, Singapore 140162",Pfizer/Comirnaty (JN.1) (12 years old & above),140162
171 Stirling Family Clinic,"171 Stirling Road, Stirling View #01-1101, Singapore 140171",Pfizer/Comirnaty (JN.1) (12 years old & above),140171
