name,address,vaccine,postal
J Medical,"212 Bidadari Park Drive, #03-06, Multi-Storey Car Park, Singapore 360212",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),360212
Raffles Medical (The Woodleigh Mall),"11 Bidadari Park Drive, The Woodleigh Mall #02-08, Singapore 367803",Pfizer/Comirnaty (JN.1) (12 years old & above),367803
Bethesda Medical @ Grantral,"601 MacPherson Road, Grantral Complex #01-03/04, Singapore 368242","Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above)",368242
Frontier Family Medicine Clinic (Macpherson),"601 MacPherson Road, Grantral Mall #01-38/39, Singapore 368242",Pfizer/Comirnaty (JN.1) (12 years old & above),368242
Lee & Tan Family Clinic and Surgery,"72 Circuit Road, #01-03, Singapore 370072",Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above),370072
Care For You Medical Clinic,"86 Circuit Road, Macpherson Oasis #01-1003, Singapore 370086",Pfizer/Comirnaty (JN.1) (12 years old & above)(5 to 11 years old),370086
HeartlandHealth (Circuit Road),"88 Circuit Road, #01-965, Singapore 370088","Pfizer/Comirnaty (JN.1) (5 to 11 years old)(12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above)",370088
T Medical Clinic (Kallang),"5 Upper Boon Keng Road #01-14, Singapore 380005",Pfizer/Comirnaty (JN.1) (12 years old & above),380005
Ko Family Clinic,"18 Upper Boon Keng Road #01-1133, Singapore 380018",Pfizer/Comirnaty (JN.1) (12 years old & above),380018
Sims Drive Medical Clinic,"53 Sims Place, #01-174, Singapore 380053",Pfizer/Comirnaty (JN.1) (12 years old & above),380053
Healthway Medical Clinic (Aljunied),"95 Aljunied Cresent, #01-521, Singapore 380095",Pfizer/Comirnaty (JN.1) (12 years old & above),380095
Ansari Family Clinic & Surgery,"78 Lorong 25A Geylang Road, Singapore 388259","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",388259
Frontier Medical,"494 Geylang Road, Singapore 389452",Pfizer/Comirnaty (JN.1) (12 years old & above),389452
M Lam Clinic,"739 Geylang Road, Singapore 389649",Pfizer/Comirnaty (JN.1) (12 years old & above),389649
57 Medical Clinic (Kallang Airport),"32 Cassia Crescent, #01-62, Singapore 390032",Pfizer/Comirnaty (JN.1) (12 years old & above),390032
Pinnacle Family Clinic (Dakota),"91 Jalan Satu, #01-05, Multi Storey Car Park, Singapore 390091",Pfizer/Comirnaty (JN.1) (12 years old & above),390091
Anteh Dispensary,"1 Lorong 22 Geylang, Grandview Suites #01-02, Singapore 398664","Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above)",398664
Frontier Medical Associates (Ubi),"304 Ubi Avenue 1, #01-87, Singapore 400304",Pfizer/Comirnaty (JN.1) (12 years old & above),400304
Healthway Medical,"304 Ubi Avenue 1, #01-12 Singapore 400304",Pfizer/Comirnaty (JN.1) (12 years old & above),400304
Minmed Clinic (Paya Lebar),"10 Eunos Road 8, Singapore Post Centre #02-122, Singapore 408600",Moderna/Spikevax (JN.1) (12 years old & above),408600
Phoenix Medical Group (Paya Lebar),"60 Paya Lebar Road, Paya Lebar Square #02-09, Singapore 409051",Pfizer/Comirnaty (JN.1)(12 years old & above),409051
True Medical Clinic Paya Lebar Quarter,"10 Paya Lebar Road, Paya Lebar Quarter #04-26, Singapore 409057","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",409057
Healthway Medical (Lengkong Tiga),"110 Lengkong, #1-231, Singapore 410110",Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above),410110
Alami Clinic by Dr Farhan,"398 Changi Road, The Lenox #01-02, Singpaore 419845",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),419845
Siglap Clinic Pte Ltd,"308 Telok Kurau Road, #01-08, Vibes @ East Coast, Singapore 423858","Pfizer/Comirnaty (JN.1) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",423858
GP @ Joo Chiat Clinic,"194 Joo Chiat Road, #01-01, Singapore 427465",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),427465
Raffles Medical (Joo Chiat),"471 Joo Chiat Road, Singapore 427680",Moderna/Spikevax (JN.1) (12 years old and above),427680
DR+ Medical & Paincare East Coast,"146 East Coast Road, Singapore 428835",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),428835
Inspire Medical Clinic (Jalan Batu),"8 Jalan Batu, #01-11, Singapore 431008",Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above),431008
Assurance Medicare Clinic & Surgery,"370 Tanjong Katong Road, Singapore 437127",Pfizer/Comirnaty (JN.1) (12 years old & above),437127
Minmed Clinic (Haig Road),"30 Haig Road, Singapore 438737",Moderna/Spikevax (JN.1) (12 years old & above),438737
FAITH Family Clinic,"57 Marine Terrance, #01-113, Singapore 440057",Pfizer/Comirnaty (JN.1) (12 years old & above),440057
Healthway Medical Clinic (Marine Terrace),"8 Marine Terrace, #01-57, Singapore 440058",Pfizer/Comirnaty (JN.1) (12 years old & above),440058
Family Medicine Clinic,"58 Marine Terrance, #01-65, Singapore 440058",Pfizer/Comirnaty (JN.1) (5 to 11 years old) (12 years old & above),440058
Marine Parade Clinic,"59 Marine Terrace #01-81, Singapore 440059",Pfizer/Comirnaty (JN.1) (12 years old & above),440059
Central [Clinic + Surgery],"81 Marine Parade Central, Marine Parade Promenade #01-630, Singapore 440081",Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above),440081
Mediline Wei Min Clinic,"81 Marine Parade Central, #01-634, Singapore 440081","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",440081
Raffles Medical (Marine Parade),"83 Marine Parade Central, Marine Parade Promenade #01-590, Singapore 440083",Moderna/Spikevax (JN.1) (12 years old and above),440083
Minmed Clinic (Marine Parade),"80 Marine Parade Road, Parkway Parade #05-21, Singapore 449269",Pfizer/Comirnaty (JN.1) (12 years old & above),449269
Advantage Medical Centre,"80 Marine Parade Road, Parkway Parade #06-01, Singapore 449269","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",449269
57 Medical clinic (Parkway Centre),"1 Marine Parade Central, Parkway Centre, #02-05, Singapore 449408",Pfizer/Comirnaty (JN.1) (12 years old & above),449408
Raffles Medical (Siglap),"55 Siglap Road, Siglap Centre #02-11/12, Singapore 455871",Pfizer/Comirnaty (JN.1) (12 years old & above),455871
SM Haneefa Clinic,"11 Chai Chee Road, #01-23, Singapore 460011",Pfizer/Comirnaty (JN.1) (12 years old & above),460011
Bedok Clinic & Sugery (Family Medical Centre),"17 Bedok South Road, #1-565 Singapore 460017",Pfizer/Comirnaty (JN.1) (12 years old & above),460017
HeartlandHealth (Bedok South),"18 Bedok South Road, #01-69, Singapore 460018","Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above), Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above)",460018
Temasek Clinic & Surgery,"73 Bedok South Avenue 3, Singapore 460073","Pfizer/Comirnaty (JN.1) (12 years old & above),Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",460073
Northeast Medical Group (Bedok),"79 Bedok North Road, #01-256, Singapore 460079",Pfizer/Comirnaty (JN.1) (12 years old & above),460079
HL Family Clinic & Surgery (Bedok) Pte. Ltd.,"89 Bedok North Street 4, #01-83, Singapore 460089",Pfizer/Comirnaty (JN.1) (12 years old & above),460089
Lee Clinic,"123 Bedok North Street 2 #01-156, Singapore 460123",Pfizer/Comirnaty (JN.1) (12 years old & above),460123
Frontier People's Clinic @ Bedok,"123 Bedok North Street 2, #01-152, Singapore 460123",Pfizer/Comirnaty (JN.1) (12 years old & above),460123
True Medical Clinic Bedok South,"158 Bedok South Avenue 3, #01-587, Singapore 460158",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),460158
JustCare Medical,"203 Bedok North Street 1, Bedok Haven #01-461, Singapore 460203",Pfizer/Comirnaty (JN.1) (12 years old & above),460203
Raffles Medical (Bedok North),"203 Bedok North Street 1, #01-467, Singapore 460203",Pfizer/Comirnaty (JN.1) (12 years old & above),460203
Healthway Medical (Bedok NORTH),"218 Bedok North Street 1, #01-17, Singapore 460218",Pfizer/Comirnaty (JN.1) (12 years old & above),460218
A1 Medical Clinic,"418 Bedok North Avenue 2, #01-63, Singapore 460418",Pfizer/Comirnaty (JN.1) (12 years old & above),460418
S. T. Medical Clinic ,"531 Bedok North Street 3, #01-694, Singapore 460531",Pfizer/Comirnaty (JN.1) (12 years old & above),460531
Yang & Yap Clinic & Surgery,"537 Bedok North Street 3 #01-571, Singapore 460537",Pfizer/Comirnaty (JN.1) (12 years old & above),460537
YSL Bedok Clinic & Surgery,"539 Bedok North Street 3, #01-631, Singapore 460539",Pfizer/Comirnaty (JN.1) (12 years old & above),460539
HeartlandHealth (New Upper Changi Rd),"59 New Upper Changi Road, #01-1268, Singapore 461059","Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above), Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above)",461059
Healthway Medical (New Upper Changi),"59 New Upper Changi Road, #01-1224, Singapore 461059","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",461059
EH Medical Family Clinic@Bedok South,"152A Bedok South Road, #01-05, Singapore 461152",Moderna/Spikevax (JN.1) (12 years old & above),461152
Keystone clinic & surgery (Upper Changi),"57A New Upper Changi Road, #01-1396, Singapore 462057",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),462057
Minmed Clinic (Bedok),"311 New Upper Changi Road, Bedok Mall #01-47/48, Singapore 467360",Pfizer/Comirnaty (JN.1) (12 years old & above),467360
SATA CommHealth Bedok Medical Centre,"351 Chai Chee Street, SATA CommHealth Building, Singapore 468982",Pfizer/Comirnaty (JN.1) (12 years old & above),468982
Clinic@Costa,"84 Bayshore Road, Costa Del Sol, #01-35/36, Singapore 469994","Pfizer/Comirnaty (JN.1)(5 to 11 years old) (12 years old & above), Novavax/Nuvaxovid (XBB. 1.5) (12 years old & above)",469994
Bok Family Clinic Pte Ltd,"117 Bedok Reservoir Road, #01-58, Singapore 470117",Pfizer/Comirnaty (JN.1) (12 years old & above),470117
Icon Care Medical Clinic,"150 Bedok Reservoir Road, #01-1733, Eunos Spring, Singapore 470150",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),470150
Eastern Medical Centre,"631 Bedok Reservoir Road #01-896, Singapore 470631",Pfizer/Comirnaty (JN.1)(5 to 11 years old) (12 years old & above),470631
Joy Family Clinic,"703 Bedok Reservior Road #01-3506, Singapore 470703",Pfizer/Comirnaty (JN.1) (12 years old & above),470703
Shenton Family Medical Clinic (Bedok Reservoir),"744 Bedok Reservoir Road, #01-3065, Singapore 470744","Pfizer/Comirnaty (JN.1) (5 to 11 years old)(12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",470744
JoyHealth Medical Clinic,"744 Bedok Reservoir Road, #01-3027, Singapore 470744","Pfizer/Comirnaty (JN.1) (5 to 11 years old) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",470744
FAITH Clinic (Bedok),"746 Bedok Reservoir Road,#01-3013, Singapore 470746",Pfizer/Comirnaty (JN.1) (12 years old & above),470746
Raffles Medical (Changi City Point),"5 Changi Business Park Central 1, Changi City Point B1-55/56, Singapore 486038",Moderna/Spikevax (JN.1) (12 years old and above),486038
Uniq Medical,"933 Upper Changi Road North, LIV@Changi, #02-02, Singapore 506785","Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above), Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",506785
Pinnacle Family Clinic (Changi North),"963C Upper Changi Road North, #02-09, Singapore 506790",Pfizer/Comirnaty (JN.1) (12 years old & above),506790
Raffles Medical (Loyang Point),"259 Pasir Ris Street 21, #02-33 Loyang Point #02-33, Singapore 510259",Moderna/Spikevax (JN.1) (12 years old and above),510259
Pasir Ris Clinic & Surgery Pte Ltd,"442 Pasir Ris Drive 6 #01-28, Singapore 510442",Pfizer/Comirnaty (JN.1) (12 years old & above),510442
Central 24-Hr Clinic,"446 Pasir Ris Drive 6 #01-122, Singapore 510446",Pfizer/Comirnaty (JN.1) (12 years old & above),510446
Lily Aw Pasir Ris Family Clinic & Surgery,"46 Pasir Ris Drive 6, #1-116, Singapore 510446",Moderna/Spikevax (JN.1) (12 years old and above),510446
Pinnacle Family Clinic (Pasir Ris),"571 Pasir Ris Street 53, #01-50, Singapore 510571",Pfizer/Comirnaty (JN.1) (12 years old & above),510571
Healthway Medical (Elias Mall),"625 Elias Road, ELias Mall #01-322, Singapore 510625",Pfizer/Comirnaty (JN.1) (12 years old & above),510625
BCH Clinic @ Pasir Ris,"21 Pasir Ris Grove, Coco Palms #01-32, Singapore 518070",Pfizer/Comirnaty (JN.1) (12 years old & above),518070
Minmed Clinic (Pasir Ris),"1 Pasir Ris Central Street 3, White Sands #05-09, 518457",Moderna/Spikevax (JN.1) (12 years old & above),518457
Raffles Medical (White Sands),"1 Pasir Ris Central Sreet 3,White Sands #04 - 19, Singapore 518457",Pfizer/Comirnaty (JN.1) (12 years old & above),518457
FAITH Clinic (Simei),"139 Simei Street 1 #01-10, Singapore 520139",Pfizer/Comirnaty (JN.1) (12 years old & above),520139
Chua Medical Centre Pte Ltd ,"248 Simei Street 3, #01-134, Singapore 520248","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (12 years old & above), Moderna/Spikevax (JN.1)(6 months to 4 years old)(12 years old and above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",520248
Yoong Family Clinic & Surgery,"333 Tampines Street 32, #01-536, Singapore 520333",Pfizer/Comirnaty (JN.1) (12 years old & above),520333
Good Medical Clinic (Tampines East),"462 Tampines Street 44, #01-74, Singapore 520462",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),520462
Healthway Medical (Tampines Central),"503 Tampines Central 1 #01-311, Singapore 520503",Pfizer/Comirnaty (JN.1) (12 years old & above),520503
ProHealth Medical Group@Tampines,"610 Tampines North Drive 1, Tampines GreenWeave #01-03, Singapore 520610",Pfizer/Comirnaty (JN.1) (12 years old & above),520610
Edgedale Medical Clinic (Tampines),"614 Tampines North Drive 1, #01-01, Singapore 520614","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above)",520614
Healthway Medical (Tampines St 71),"710 Tampines street 71, #01-134, Singapore 520710","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",520710
Praise Family Clinic,"717 Tampines Street 72, #01-75, Singapore 520717",Pfizer/Comirnaty (JN.1) (12 years old & above),520717
HeartlandHealth (Tampines),"730 Tampines Street 71 #01-51, Singapore 520730","Pfizer/Comirnaty (JN.1) (5 to 11 years old)(12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above)",520730
True Medical Clinic Tampines West,"824 Tampines Street 81, Tampines Grove #01-26, Singapore 520824","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",520824
Onecare Clinic Tampines,"827 Tampines Streer 81, Tampines Grove #01-142, Singapore 520827",Pfizer/Comirnaty (JN.1) (12 years old & above),520827
Our Family Physician Clinic & Surgery,"829 Tampines Street 81, #01-292, Singapore 520829",Pfizer/Comirnaty (JN.1)(5 to 11 years old) (12 years old & above),520829
Little Cross Family Clinic,"929 Tampines Street 91 #01-445, Singapore 520929","Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above)",520929
Greenhealth Family Clinic,"138 Tampines St. 11, #01-142, Singapore 521138",Pfizer/Comirnaty (JN.1) (12 years old & above),521138
Street 11 Clinic,"139 Tampines Street 11, Singapore 521139",Pfizer/Comirnaty (JN.1) (12 years old & above),521139
Healthway Medical (Tampines St 11),"139 Tampines Street 11,#01-16, Singapore 521139","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",521139
Viva Medical Clinic,"450A Tampines Street 42, #01-356, Singapore 521450",Pfizer/Comirnaty (JN.1) (12 years old & above),521450
Our Tampines Family Clinic,"622A Tampines Avenue 12, #01-08, Singapore 521622",Pfizer/Comirnaty (JN.1) (12 years old & above),521622
Karri Family Clinic,"866A Tampines Street 83, Tampines Central Community Complex #03-05, Singapore 521866",Pfizer/Comirnaty (JN.1) (12 years old & above),521866
Faith Medical Clinic & Surgery,"487C Tampines Street 45, #B1-103, Singapore 522487",Pfizer/Comirnaty (JN.1) (12 years old & above),522487
Kindred Family Clinic (Tampines),"494 Tampines Street 45, #01-02, Singapore 523494",Pfizer/Comirnaty (JN.1) (12 years old & above),523494
GreenForest Family Clinic ,"878C Tampines Avenue 8, #01-71, Singapore 523878",Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above),523878
Healthway Medical (Tampines),"201D Tampines Street 21, #01-1143, Singapore 524201",Pfizer/Comirnaty (JN.1) (12 years old & above),524201
Intemedical Tampines,"201E Tampines Street 23, #01-96, Singapore 527201",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),527201
Tampines Family Medicine Clinic,"1 Tampines Walk, Our Tampines Hub, #03-34, Singapore 528523","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old & above)",528523
Raffles Medical (EastPoint Mall),"3 Simei Street 6, Eastpoint Mall #02-27, Singapore 528833",Pfizer/Comirnaty (JN.1) (12 years old & above),528833
Kai Medical Clinic,"5 Tampines Street 32, #02-05, Tampines Mart, Singapore 529284",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),529284
SATA CommHealth (Tampines),"5 Tampines Central 6,Telepark Building, #01-01A, Singapore 529482",Pfizer/Comirnaty (JN.1) (12 years old & above),529482
Dayspring Medical Clinic (Tampines),"2 Tampines Central 5 #04-09 Century Square, Singapore 529509",Pfizer/Comirnaty (JN.1) (12 years old & above),529509
Raffles Medical (Tampines 1),"10 Tampines Central 1, Tampines 1 #03-28, Singapore 529536",Pfizer/Comirnaty (JN.1) (5 to 11 years old)(12 years old & above),529536
Q & M Medical & Aesthetics Clinic (Tampines 1),"10 Tampines Central 1, Tampines one #04-18 / 19, Singapore 529536",Pfizer/Comirnaty (JN.1) (12 years old & above),529536
Northeast Medical Group (Tampines),"20 Tampines Central 1 #01-25 Tampines MRT Station, Singapore 529538",Pfizer/Comirnaty (JN.1) (12 years old & above),529538
Northeast Medical Group (Simei),"30 Simei Street 3, #02-01 Simei MRT Station, Singapore 529888",Pfizer/Comirnaty (JN.1) (12 years old & above),529888
Pancare Medical (Hougang),"23 Hougang Avenue 3, Hougang View #01-285, Singapore 530023",Pfizer/Comirnaty (JN.1) (12 years old & above),530023
Healthway Medical (Hougang Ave 1),"106 Hougang Avenue 1 #01-1225, Singapore 530106",Pfizer/Comirnaty (JN.1) (12 years old & above),530106
Healthway Medical (Hougang),"108 Hougang Avenue 1, #01-1299, Singapore 530108",Pfizer/Comirnaty (JN.1) (12 years old & above),530108
Parkway Shenton Medical Group (Kovan),"205 Hougang Street 21 #03-20 Heartland Mall, Singapore 530205",Pfizer/Comirnaty (JN.1) (12 years old & above),530205
Intemedical (Kovan),"210 Hougang Street 21 #01-233, Singapore 530210",Pfizer/Comirnaty (JN.1) (12 years old & above),530210
STAT Medical Clinic @ Hougang,"311 Hougang Avenue 5 #01-183, Singapore 530311",Pfizer/Comirnaty (JN.1) (12 years old & above),530311
Mission (Hougang) Medical Clinic,"356 Hougang Avenue 7, #01-799, Singapore 530356","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old & above)",530356
Pinnacle Family Clinic (Hougang),"356 Hougang Avenue 7, #01-791, Singapore 530356",Pfizer/Comirnaty (JN.1) (12 years old & above),530356
Keystone Family Clinic,"377 Hougang Street 32, Hougang Rivercourt #01-03, Singapore 530377",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),530377
RiverSage Family Clinic,"476 Upper Serangoon View, #02-08, Singapore 530476",Moderna/Spikevax (JN.1) (12 years old & above),530476
Medlife Clinic & Surgery,"684 Hougang Ave 8 #01-985, Singapore 530684","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above)",530684
Raffles Medical (Hougang),"809 Hougang Central, #01-180, Singapore 530809",Pfizer/Comirnaty (JN.1) (12 years old & above),530809
Frontier Medical Associates @ Buangkok,"982 Buangkok Crescent #01-03, Singapore 530982",Pfizer/Comirnaty (JN.1) (12 years old & above),530982
Pancare Medical (Serangoon),"3 Lorong Lew Lian, Lew Lian Gardens #01-70, Singapore 531003",Pfizer/Comirnaty (JN.1) (12 years old & above),531003
Norwood Medical (Hougang),"365B Upper Serangoon Road, Hougang Meadow #01-1066, Singapore 532365",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),532365
Trucare Medical Clinic And Surgery (Hougang Central),"1187 Upper Serangoon Rd, The Midtown #01-53, Singapore 533971",Pfizer/Comirnaty (JN.1)(5 to 11 years old) (12 years old & above),533971
DR+ Medical & Paincare Hougang,"1187 Upper Serangoon Road, Midtown Residences (The Midtown Residences), #01-54, Singapore 533971",Pfizer/Comirnaty (JN.1) (12 years old & above),533971
DR+ Medical Paincare Clinic,"988 Upper Serangoon Road, Stars of Kovan #01-07, Singapore 534733",Pfizer/Comirnaty (JN.1) (5 to 11 years old),534733
Bartley Clinic,"187 Upper Paya Lebar Road, Singapore 534869",Moderna/Spikevax (JN.1) (12 years old & above),534869
Elissa Medical Clinic,"1 Hougang Street 91, #01-21, Singapore 538692",Pfizer/Comirnaty (JN.1) (12 years old & above),538692
Excel Family Clinic,"21 Hougang Street 51 #01-06 Hougang Green Shopping Mall, Singapore 538719",Pfizer/Comirnaty (JN.1) (12 years old & above),538719
Fullerton Health Hub @ Hougang Green ,"21 Hougang Street 51, #01-46, Hougang Green Shopping Mall, Singapore 538719",Pfizer/Comirnaty (JN.1) (12 years old & above),538719
iDOC Clinic,"21 Hougang Street 51, #01-43, Hougang Green Shopping Mall, Singapore 538719",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),538719
Healthway Medical (Hougang Mall),"90 Hougang Avenue 10, Hougang Mall #04-06, Singapore 538766",Pfizer/Comirnaty (JN.1) (12 years old & above),538766
Hougang Family Medicine Clinic,51 Hougang Avenue 9 #02-01 Singapore 538776,Pfizer/Comirnaty (JN.1) (12 years old & above),538776
Healthway Medical (Rivervale Plaza),"118 Rivervale Drive, Rivervale Plaza #02-17, Singapore 540118",Pfizer/Comirnaty (JN.1) (12 years old & above),540118
Healthway Medical (Compassvale Link),"267 Compassvale Link #01-04, Singapore 540267",Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above),540267
Island Family Clinic (Sengkang),"279 Sengkang East Avenue #01-05, Singapore 540279",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),540279
Healthway Medical (Anchorvale),"308 Anchorvale Road, Multi Storey Car Park #01-03, Singapore 540308",Pfizer/Comirnaty (JN.1) (12 years old & above),540308
Medivene Clinic & Surgery,"330 Anchorvale Street #01-05, Singapore 540330",Pfizer/Comirnaty (JN.1) (12 years old & above),540330
RCMC Rivervale Crescent Medical Centre,"182A Rivervale Crescent #01-04, Singapore 541182",Pfizer/Comirnaty (JN.1) (12 years old & above),541182
Sunbeam Medical Clinin,"318B Anchorvale Link, #01-257, Anchorvale Gardens, Singapore 542318",Pfizer/Comirnaty (JN.1) (12 years old & above),542318
Pinnacle Family Clinic (Compassvale),"289C Compassvale Cres #01-04, Singapore 543289",Pfizer/Comirnaty (JN.1) (12 years old & above),543289
Minmed Clinic (Buangkok),"70 Compassvale Bow, Sengkang Grand mall #02-13, Singapore 544692",Pfizer/Comirnaty (JN.1) (12 years old & above),544692
Shenton Medical Group (Buangkok),"10 Sengkang Central, #01-04 Buangkok NEL MRT Station, Singapore 545061",Pfizer/Comirnaty (JN.1) (12 years old & above),545061
Q & M Medical Clinic (Buangkok MRT) Pte Ltd,"10 Sengkang Central, Buangkok MRT Station #01-02, Singapore 545061",Pfizer/Comirnaty (JN.1) (12 years old & above),545061
Northeast Medical Group (Sengkang),"5 Sengkang Square, Singapore 545062",Pfizer/Comirnaty (JN.1) (12 years old & above),545062
Raffles Medical Clinic Compass One,"1 Sengkang Square #04-09, Compass Mall One, Singapore 545078",Pfizer/Comirnaty (JN.1)(5 to 11 years old) (12 years old & above),545078
Minmed Clinic (Sengkang),"1 Sengkang Square, Compass one #04-13, Singapore 545078",Moderna/Spikevax (JN.1) (12 years old & above),545078
Raffles Medical (Rivervale Mall),"11 Rivervale Crescent, #02-17 Rivervale Mall #02-17, Singapore 545082",Moderna/Spikevax (JN.1) (12 years old and above),545082
I-Health Medical Clinic (Serangoon North),"152 Serangoon North Avenue 1, #01-320, Singapore 550152",Pfizer/Comirnaty (JN.1) (12 years old & above),550152
Union Medical Clinic & Surgery,"152 Serangoon North Avenue 1, #01-330, Singapore 550152","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",550152
Affinity Medical Clinic,"253 Serangoon Central Drive #01-187, Singapore 550253",Pfizer/Comirnaty (JN.1) (12 years old & above),550253
Q & M Medical Clinic,"261 Serangoon Central Drive, #01-29, Singapore 550261",Pfizer/Comirnaty (JN.1) (12 years old & above),550261
Origin Family Clinic,"263 Serangoon Central Drive, #01-75, Singapore 550263",Pfizer/Comirnaty (JN.1) (12 years old & above),550263
Keystone Clinic & Surgery,"304 Searangoon Avenue 2, #01-10 Chuan Village, Singapore 550304",Pfizer/Comirnaty (JN.1) (5 to 11 years old) (12 years old & above),550304
Claremont Medical Clinic,"28 Serangoon North Avenue 1, Affinity At Serangoon #01-61 Singapore 554341","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",554341
Ashford Medical Centre,"79 Serangoon Garden Way, #01-01, Singapore 555975","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old & above)",555975
Raffles Medical (NEX),"23 Serangoon Central, NEX #B2 - 01, Singapore 556083",Pfizer/Comirnaty (JN.1) (12 years old & above),556083
